Station_Name,Day_Type,Time_Bin,Boardings,Alightings,Total
Diggers Rest,Normal Weekend,04:00–08:00,1.4098690835850958,0.02014098690835851,1.4300100704934542
Diggers Rest,Normal Weekend,08:00–12:00,6.1735537190082646,1,7.1735537190082646
Diggers Rest,Normal Weekend,12:00–16:00,4.398034398034398,3.751023751023751,8.149058149058149
Diggers Rest,Normal Weekend,16:00–20:00,2.1687587168758715,5.334728033472803,7.503486750348674
Diggers Rest,Normal Weekend,20:00–00:00,0.33774834437086093,2.6556291390728477,2.993377483443709
Diggers Rest,Public Holiday,00:00–04:00,0,0.14705882352941177,0.14705882352941177
Diggers Rest,Public Holiday,04:00–08:00,2.0754716981132075,0,2.0754716981132075
Diggers Rest,Public Holiday,08:00–12:00,5.723270440251572,0.5031446540880503,6.226415094339623
Diggers Rest,Public Holiday,12:00–16:00,5,3.1927710843373496,8.19277108433735
Diggers Rest,Public Holiday,16:00–20:00,1.2698412698412698,5.079365079365079,6.349206349206349
Diggers Rest,Public Holiday,20:00–00:00,0.1507537688442211,2.0100502512562812,2.1608040201005023
Diggers Rest,School Holiday,00:00–04:00,0,0.7920792079207921,0.7920792079207921
Diggers Rest,School Holiday,04:00–08:00,8.74326750448833,0,8.74326750448833
Diggers Rest,School Holiday,08:00–12:00,6.754478398314014,0.5163329820864068,7.2708113804004215
Diggers Rest,School Holiday,12:00–16:00,3.323170731707317,5.975609756097561,9.298780487804878
Diggers Rest,School Holiday,16:00–20:00,0.6534090909090909,8.991477272727273,9.644886363636365
Diggers Rest,School Holiday,20:00–00:00,0.03911342894393742,3.1421121251629724,3.1812255541069097
Glen Iris,Normal Weekday,00:00–04:00,0,0.8368200836820083,0.8368200836820083
Glen Iris,Normal Weekday,04:00–08:00,8.102963443651308,2.3145143845987453,10.417477828250053
Glen Iris,Normal Weekday,08:00–12:00,7.670354538596932,3.272567261755092,10.942921800352025
Glen Iris,Normal Weekday,12:00–16:00,4.343462120170494,5.189055410422109,9.532517530592603
Glen Iris,Normal Weekday,16:00–20:00,4.325756519313903,9.591409845209872,13.917166364523776
Glen Iris,Normal Weekday,20:00–00:00,0.3375036368926389,4.547570555717195,4.885074192609834
Glen Iris,Normal Weekend,00:00–04:00,0.06622516556291391,0.9713024282560706,1.0375275938189845
Glen Iris,Normal Weekend,04:00–08:00,0.24346257889990983,0.11722272317403065,0.36068530207394045
Glen Iris,Normal Weekend,08:00–12:00,4.4482029598308666,2.13107822410148,6.579281183932347
Glen Iris,Normal Weekend,12:00–16:00,5.492748233544068,3.9903309780587577,9.483079211602826
Glen Iris,Normal Weekend,16:00–20:00,4.024251610458507,6.195528609321713,10.219780219780219
Glen Iris,Normal Weekend,20:00–00:00,0.6610066707095209,4.742268041237113,5.403274711946635
Glen Iris,Public Holiday,00:00–04:00,0,0.22727272727272727,0.22727272727272727
Glen Iris,Public Holiday,04:00–08:00,0.20689655172413793,0,0.20689655172413793
Glen Iris,Public Holiday,08:00–12:00,4.635761589403973,0.9271523178807947,5.562913907284768
Glen Iris,Public Holiday,12:00–16:00,6.099071207430341,3.0340557275541795,9.13312693498452
Glen Iris,Public Holiday,16:00–20:00,1.7034700315457414,6.561514195583596,8.264984227129338
Glen Iris,Public Holiday,20:00–00:00,0.29535864978902954,2.278481012658228,2.5738396624472575
Glen Iris,School Holiday,00:00–04:00,0.09345794392523364,1.1214953271028036,1.2149532710280373
Glen Iris,School Holiday,04:00–08:00,4.540389972144847,0.25998142989786444,4.800371402042711
